date,state,fips,cases,deaths
2020/03/08,Connecticut,09,1,0
2020/03/09,Connecticut,09,2,0
2020/03/10,Connecticut,09,2,0
2020/03/11,Connecticut,09,3,0
2020/03/12,Connecticut,09,6,0
2020/03/13,Connecticut,09,11,0
2020/03/14,Connecticut,09,20,0
2020/03/15,Connecticut,09,26,0
2020/03/16,Connecticut,09,41,0
2020/03/17,Connecticut,09,68,0
2020/03/18,Connecticut,09,96,1
2020/03/19,Connecticut,09,159,4
2020/03/20,Connecticut,09,194,4
2020/03/21,Connecticut,09,223,5
2020/03/22,Connecticut,09,327,8
2020/03/23,Connecticut,09,415,10
2020/03/24,Connecticut,09,618,12
2020/03/25,Connecticut,09,875,19
2020/03/26,Connecticut,09,1012,21
2020/03/27,Connecticut,09,1291,27
2020/03/28,Connecticut,09,1524,33
2020/03/29,Connecticut,09,1993,34
2020/03/30,Connecticut,09,2571,36
2020/03/31,Connecticut,09,3128,69
2020/04/01,Connecticut,09,3557,85
2020/04/02,Connecticut,09,3824,112
2020/04/03,Connecticut,09,4915,132
2020/04/04,Connecticut,09,5276,165
2020/04/05,Connecticut,09,5675,189
2020/04/06,Connecticut,09,6906,206
2020/04/07,Connecticut,09,7781,277
2020/04/08,Connecticut,09,8781,335
2020/04/09,Connecticut,09,9784,380
2020/04/10,Connecticut,09,10538,448
2020/04/11,Connecticut,09,11510,494
2020/04/12,Connecticut,09,12035,554
2020/04/13,Connecticut,09,13381,602
2020/04/14,Connecticut,09,13989,671
2020/04/15,Connecticut,09,14755,868
2020/04/16,Connecticut,09,15884,971
2020/04/17,Connecticut,09,16809,1036
2020/04/18,Connecticut,09,17550,1086
2020/04/19,Connecticut,09,17962,1127
2020/04/20,Connecticut,09,19815,1331
2020/04/21,Connecticut,09,20360,1423
2020/04/22,Connecticut,09,22469,1544
2020/04/23,Connecticut,09,23100,1639
2020/04/24,Connecticut,09,23921,1764
2020/04/25,Connecticut,09,24582,1862
2020/04/26,Connecticut,09,25269,1925
2020/04/27,Connecticut,09,25997,2012
2020/04/28,Connecticut,09,26312,2089
2020/04/29,Connecticut,09,26767,2168
2020/04/30,Connecticut,09,27700,2257
2020/05/01,Connecticut,09,28764,2339
2020/05/02,Connecticut,09,29287,2436
2020/05/03,Connecticut,09,29287,2436
2020/05/04,Connecticut,09,29973,2556
2020/05/05,Connecticut,09,30621,2633
2020/05/06,Connecticut,09,30995,2718
2020/05/07,Connecticut,09,31784,2797
2020/05/08,Connecticut,09,32411,2874
2020/05/09,Connecticut,09,32984,2932
2020/05/10,Connecticut,09,33554,2967
2020/05/11,Connecticut,09,33765,3008
2020/05/12,Connecticut,09,34333,3041
2020/05/13,Connecticut,09,34855,3125
2020/05/14,Connecticut,09,35464,3219
2020/05/15,Connecticut,09,36085,3285
2020/05/16,Connecticut,09,36703,3339
2020/05/17,Connecticut,09,37419,3408
2020/05/18,Connecticut,09,38116,3449
2020/05/19,Connecticut,09,38430,3472
2020/05/20,Connecticut,09,39017,3529
2020/05/21,Connecticut,09,39208,3582
2020/05/23,Connecticut,09,40022,3675
2020/05/24,Connecticut,09,40468,3693
2020/05/25,Connecticut,09,40873,3742
